DT_REFER;DENOM_CIA;Ativo Circulante;Ativo Não Circulante;Ativo Total;Passivo Circulante;Passivo Não Circulante;Passivo Total;Patrimônio Líquido Consolidado;passivo
2010-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;99034.0;2236185.0;2335219.0;141631.0;521791.0;2335219.0;1671797.0;663422.0
2010-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;347204.0;6866.0;354070.0;14611.0;4970.0;354070.0;334489.0;19581.0
2010-12-31;ALUPAR INVESTIMENTO S/A;1471470.0;4198349.0;5669819.0;676250.0;2319346.0;5669819.0;2674223.0;2995596.0
2010-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;2547589.0;20086386.0;22633975.0;1416204.0;1798723.0;22633975.0;19419048.0;3214927.0
2010-12-31;BR PROPERTIES S.A.;310202.0;4795034.0;5105236.0;420402.0;1975364.0;5105236.0;2709470.0;2395766.0
2010-12-31;BRASKEM S.A.;8780298.0;25697193.0;34477491.0;8462150.0;15607055.0;34477491.0;10408286.0;24069205.0
2010-12-31;BRF S.A.;9852130.0;17899417.0;27751547.0;5686384.0;8428645.0;27751547.0;13636518.0;14115029.0
2010-12-31;CCR S.A.;1721541.0;11045990.0;12767531.0;3041673.0;6585468.0;12767531.0;3140390.0;9627141.0
2010-12-31;CIA SIDERURGICA NACIONAL;15793688.0;22007526.0;37801214.0;4455955.0;25522571.0;37801214.0;7822688.0;29978526.0
2010-12-31;CIA TECIDOS SANTANENSE;176624.0;132369.0;308993.0;73034.0;33987.0;308993.0;201972.0;107021.0
2010-12-31;COGNA EDUCAÇÃO S.A.;200922.0;893864.0;1094786.0;133768.0;144842.0;1094786.0;816176.0;278610.0
2010-12-31;CONSTRUTORA ADOLPHO LINDENBERG S.A.;7004.0;5411.0;12415.0;18996.0;10318.0;12415.0;-16899.0;29314.0
2010-12-31;CPFL ENERGIAS RENOVÁVEIS S.A.;321704.0;1174402.0;1496106.0;72580.0;540915.0;1496106.0;882611.0;613495.0
2010-12-31;DOHLER S.A.;220632.0;281381.0;502013.0;51549.0;63859.0;502013.0;386605.0;115408.0
2010-12-31;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;1076880.0;3088896.0;4165776.0;1112971.0;1264938.0;4165776.0;1787867.0;2377909.0
2010-12-31;EMBPAR PARTICIPAÇÕES S/A;252909.0;345191.0;598100.0;227109.0;351954.0;598100.0;19037.0;579063.0
2010-12-31;EMBRAER S.A.;8302326.0;5678688.0;13981014.0;3980282.0;4782975.0;13981014.0;5217757.0;8763257.0
2010-12-31;ENAUTA PARTICIPAÇÕES S.A.;221597.0;833143.0;1054740.0;148660.0;283777.0;1054740.0;622303.0;432437.0
2010-12-31;ENGIE BRASIL ENERGIA S.A.;1906733.0;10943555.0;12850288.0;2259838.0;5517766.0;12850288.0;5072684.0;7777604.0
2010-12-31;GERDAU S.A.;12945944.0;29945316.0;42891260.0;5021900.0;17721745.0;42891260.0;20147615.0;22743645.0
2010-12-31;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;55300.0;501094.0;556394.0;165330.0;429574.0;556394.0;-38510.0;594904.0
2010-12-31;JSL S.A.;946423.0;1982060.0;2928483.0;640911.0;1474360.0;2928483.0;813212.0;2115271.0
2010-12-31;KLABIN S.A.;4127147.0;8134096.0;12261243.0;1690913.0;5415828.0;12261243.0;5154502.0;7106741.0
2010-12-31;MANGELS INDUSTRIAL S.A.;490460.0;366351.0;856811.0;225469.0;404479.0;856811.0;226863.0;629948.0
2010-12-31;MOURA DUBEUX ENGENHARIA S/A;1301858.0;353946.0;1655804.0;296550.0;1075960.0;1655804.0;283294.0;1372510.0
2010-12-31;OSX BRASIL S.A.;2404378.0;1003138.0;3407516.0;455099.0;518401.0;3407516.0;2434016.0;973500.0
2010-12-31;PADTEC HOLDING S.A.;366348.0;162430.0;528778.0;314696.0;81183.0;528778.0;132899.0;395879.0
2010-12-31;PBG S/A;214527.0;352895.0;567422.0;251275.0;255311.0;567422.0;60836.0;506586.0
2010-12-31;PETRO RIO S.A.;2446144.0;249508.0;2695652.0;35195.0;0.0;2695652.0;2660457.0;35195.0
2010-12-31;POSITIVO TECNOLOGIA S.A.;1407924.0;221745.0;1629669.0;782759.0;160600.0;1629669.0;686310.0;943359.0
2010-12-31;REDE ENERGIA PARTICIPAÇÕES S.A.;3021438.0;9618901.0;12640339.0;3689391.0;6301383.0;12640339.0;2649565.0;9990774.0
2010-12-31;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;1752197.0;419227.0;2171424.0;968494.0;525422.0;2171424.0;677508.0;1493916.0
2010-12-31;RUMO S.A.;2703413.0;9816423.0;12519836.0;1703703.0;6988157.0;12519836.0;3827976.0;8691860.0
