DT_REFER;DENOM_CIA;Custo dos Bens e/ou Serviços Vendidos;Lucro/Prejuízo Consolidado do Período;Receita de Venda de Bens e/ou Serviços
2010-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;-34738.0;212760.0;185009.0
2010-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;0.0;13071.0;14253.0
2010-12-31;ALUPAR INVESTIMENTO S/A;-619132.0;448474.0;1327336.0
2010-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;-212797.0;1144486.0;2102554.0
2010-12-31;BR PROPERTIES S.A.;0.0;813368.0;204464.0
2010-12-31;BRASKEM S.A.;-21411775.0;1889485.0;25494817.0
2010-12-31;BRF S.A.;-16951152.0;804996.0;22681253.0
2010-12-31;CCR S.A.;-2454652.0;677508.0;4657256.0
2010-12-31;CIA SIDERURGICA NACIONAL;-7686742.0;2516191.0;14450510.0
2010-12-31;CIA TECIDOS SANTANENSE;-234883.0;22724.0;316344.0
2010-12-31;COGNA EDUCAÇÃO S.A.;-434404.0;-29623.0;599681.0
2010-12-31;CONSTRUTORA ADOLPHO LINDENBERG S.A.;-3908.0;-4698.0;8870.0
2010-12-31;CPFL ENERGIAS RENOVÁVEIS S.A.;-63715.0;-15713.0;104167.0
2010-12-31;DOHLER S.A.;-187517.0;12388.0;246601.0
2010-12-31;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;-623618.0;594039.0;1427608.0
2010-12-31;EMBPAR PARTICIPAÇÕES S/A;-930995.0;-3049.0;1097430.0
2010-12-31;EMBRAER S.A.;-7582662.0;600178.0;9380625.0
2010-12-31;ENAUTA PARTICIPAÇÕES S.A.;-57158.0;35595.0;142242.0
2010-12-31;ENGIE BRASIL ENERGIA S.A.;-1888072.0;1211649.0;4100381.0
2010-12-31;GERDAU S.A.;-25873476.0;2457379.0;31393209.0
2010-12-31;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;-36862.0;-17129.0;111370.0
2010-12-31;JSL S.A.;-1673373.0;93041.0;2028459.0
2010-12-31;KLABIN S.A.;-2292478.0;582152.0;3663317.0
2010-12-31;MANGELS INDUSTRIAL S.A.;-655574.0;21510.0;783277.0
2010-12-31;MOURA DUBEUX ENGENHARIA S/A;-365896.0;159190.0;606754.0
2010-12-31;OSX BRASIL S.A.;-8267.0;-77176.0;8834.0
2010-12-31;PADTEC HOLDING S.A.;-863419.0;-35468.0;1075999.0
2010-12-31;PBG S/A;-347971.0;32304.0;511415.0
2010-12-31;PETRO RIO S.A.;-14418.0;-142370.0;15593.0
2010-12-31;POSITIVO TECNOLOGIA S.A.;-1692065.0;89196.0;2327605.0
2010-12-31;REDE ENERGIA PARTICIPAÇÕES S.A.;-5431906.0;-374848.0;6860728.0
2010-12-31;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;-483041.0;71653.0;705124.0
2010-12-31;RUMO S.A.;-1537171.0;239879.0;2753531.0
2010-12-31;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;-890082.0;61023.0;1564936.0
2010-12-31;SER EDUCACIONAL S.A.;-50403.0;35719.0;141296.0
2010-12-31;SUZANO HOLDING S.A.;-3148955.0;764060.0;4519675.0
2010-12-31;SUZANO S.A.;-3148502.0;768997.0;4513883.0
2010-12-31;TAURUS ARMAS S.A.;-382211.0;70310.0;671558.0
2010-12-31;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;-70574.0;428630.0;798594.0
2010-12-31;TRONOX PIGMENTOS DO BRASIL S.A.;-265375.0;-26922.0;283181.0
2010-12-31;UNIPAR CARBOCLORO S.A.;-193921.0;30296.0;316234.0
2010-12-31;VALE S.A.;-33756067.0;30421492.0;83225007.0
2010-12-31;VALID SOLUÇÕES S.A.;-560068.0;93920.0;756849.0
2010-12-31;VIX LOGÍSTICA S/A;-583189891.0;36423183.0;703642234.0
2010-12-31;VULCABRAS S.A.;-1351390.0;121009.0;1953133.0
2010-12-31;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;-844472.0;55122.0;982786.0
2010-12-31;YDUQS PARTICIPACOES S.A.;-696957.0;80660.0;1016156.0
2011-03-31;COSAN S.A.;-15150079.0;776562.0;18063480.0
2011-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;-36809.0;364307.0;219185.0
2011-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;0.0;109791.0;145376.0
2011-12-31;ALUPAR INVESTIMENTO S/A;-373051.0;439044.0;1213645.0
2011-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;-211299.0;1048529.0;2115983.0
2011-12-31;BR PROPERTIES S.A.;0.0;335409.0;343464.0
2011-12-31;BRASKEM S.A.;-29317951.0;-516839.0;33176160.0
2011-12-31;BRF S.A.;-19046963.0;1365089.0;25706238.0
2011-12-31;CCR S.A.;-2282075.0;910769.0;5134296.0
2011-12-31;CIA SIDERURGICA NACIONAL;-9800844.0;3667234.0;16519584.0
